product_id,product_name,category,price,quantity,last_updated
5,"Notebook Pack",School,8.99,100,"2026-05-01 08:20:00"
25,"Mechanical Pencils",School,6.99,90,"2026-05-20 09:00:00"
8,"Coffee Mug",Home,12.99,80,"2026-05-01 08:35:00"
2,"Phone Charger",Electronics,19.99,75,"2026-05-01 08:05:00"
3,"Water Bottle",Home,15.99,60,"2026-05-01 08:10:00"
24,Planner,School,12.49,55,"2026-05-20 09:00:00"
7,Backpack,School,39.99,45,"2026-05-01 08:30:00"
17,"Throw Blanket",Home,22.99,40,"2026-05-20 09:00:00"
1,"Wireless Headphones",Electronics,79.99,35,"2026-05-10 10:00:00"
10,"Yoga Mat",Sports,24.99,35,"2026-05-01 08:45:00"
19,"Travel Pillow",Travel,14.99,35,"2026-05-20 09:00:00"
6,"Desk Lamp",Home,29.99,30,"2026-05-01 08:25:00"
21,"Soccer Ball",Sports,19.99,28,"2026-05-20 09:00:00"
4,"Running Shoes",Sports,64.99,25,"2026-05-01 08:15:00"
12,"Laptop Stand",Electronics,27.99,22,"2026-05-20 09:00:00"
9,"Gaming Mouse",Electronics,34.99,20,"2026-05-01 08:40:00"
16,"Air Fryer",Home,89.99,18,"2026-05-20 09:00:00"
27,"Portable Fan",Home,21.99,16,"2026-05-20 09:00:00"
13,"USB-C Hub",Electronics,32.99,14,"2026-05-20 09:00:00"
31,"Graphic T-Shirt",Clothing,18.99,13,"2026-05-20 09:00:00"
18,"Storage Bins",Home,18.99,12,"2026-05-20 09:00:00"
26,"Desk Organizer",School,16.99,11,"2026-05-20 09:00:00"
29,"Rain Jacket",Clothing,59.99,10,"2026-05-20 09:00:00"
14,"Wireless Keyboard",Electronics,49.99,9,"2026-05-20 09:00:00"
11,"Bluetooth Speaker",Electronics,44.99,8,"2026-05-20 09:00:00"
22,"Resistance Bands",Sports,17.99,7,"2026-05-20 09:00:00"
20,"Duffel Bag",Travel,54.99,6,"2026-05-20 09:00:00"
15,"Smart Watch",Electronics,119.99,5,"2026-05-20 09:00:00"
23,"Bike Water Cage",Sports,11.99,4,"2026-05-20 09:00:00"
28,"LED Light Strips",Electronics,25.99,3,"2026-05-20 09:00:00"
30,"Winter Beanie",Clothing,13.99,2,"2026-05-20 09:00:00"
