product_id,product_name,category,price,created_date
11,"Bluetooth Speaker",Electronics,44.99,"2026-06-16 09:08:27"
31,"Graphic T-Shirt",Clothing,18.99,"2026-05-05 00:00:00"
30,"Winter Beanie",Clothing,13.99,"2026-05-01 00:00:00"
29,"Rain Jacket",Clothing,59.99,"2026-04-26 00:00:00"
28,"LED Light Strips",Electronics,25.99,"2026-04-22 00:00:00"
27,"Portable Fan",Home,21.99,"2026-04-18 00:00:00"
26,"Desk Organizer",School,16.99,"2026-04-14 00:00:00"
25,"Mechanical Pencils",School,6.99,"2026-04-10 00:00:00"
24,Planner,School,12.49,"2026-04-06 00:00:00"
23,"Bike Water Cage",Sports,11.99,"2026-04-02 00:00:00"
22,"Resistance Bands",Sports,17.99,"2026-03-29 00:00:00"
21,"Soccer Ball",Sports,19.99,"2026-03-25 00:00:00"
20,"Duffel Bag",Travel,54.99,"2026-03-20 00:00:00"
19,"Travel Pillow",Travel,14.99,"2026-03-16 00:00:00"
18,"Storage Bins",Home,18.99,"2026-03-12 00:00:00"
17,"Throw Blanket",Home,22.99,"2026-03-08 00:00:00"
16,"Air Fryer",Home,89.99,"2026-03-05 00:00:00"
15,"Smart Watch",Electronics,119.99,"2026-03-01 00:00:00"
14,"Wireless Keyboard",Electronics,49.99,"2026-02-25 00:00:00"
13,"USB-C Hub",Electronics,32.99,"2026-02-22 00:00:00"
12,"Laptop Stand",Electronics,27.99,"2026-02-20 00:00:00"
10,"Yoga Mat",Sports,24.99,"2026-02-15 00:00:00"
9,"Gaming Mouse",Electronics,34.99,"2026-02-08 00:00:00"
8,"Coffee Mug",Home,12.99,"2026-02-01 00:00:00"
7,Backpack,School,39.99,"2026-01-26 00:00:00"
6,"Desk Lamp",Home,29.99,"2026-01-22 00:00:00"
5,"Notebook Pack",School,8.99,"2026-01-18 00:00:00"
4,"Running Shoes",Sports,64.99,"2026-01-15 00:00:00"
3,"Water Bottle",Home,15.99,"2026-01-12 00:00:00"
2,"Phone Charger",Electronics,19.99,"2026-01-08 00:00:00"
1,"Wireless Headphones",Electronics,79.99,"2026-01-05 00:00:00"
